Date_of_publication,Municipality_name,Total_reported,Deceased
2020-06-01,'s-Gravenhage,10,0
2020-06-02,'s-Gravenhage,14,0
2020-06-03,'s-Gravenhage,4,2
2020-06-04,'s-Gravenhage,13,1
2020-06-05,'s-Gravenhage,11,5
2020-06-06,'s-Gravenhage,19,0
2020-06-07,'s-Gravenhage,13,0
2020-06-08,'s-Gravenhage,7,0
2020-06-09,'s-Gravenhage,22,3
2020-06-10,'s-Gravenhage,12,2
2020-06-11,'s-Gravenhage,17,0
2020-06-12,'s-Gravenhage,23,0
2020-06-13,'s-Gravenhage,13,0
2020-06-14,'s-Gravenhage,9,0
2020-06-15,'s-Gravenhage,18,0
2020-06-16,'s-Gravenhage,5,0
2020-06-17,'s-Gravenhage,8,0
2020-06-18,'s-Gravenhage,12,0
2020-06-19,'s-Gravenhage,10,0
2020-06-20,'s-Gravenhage,8,1
2020-06-21,'s-Gravenhage,5,0
2020-06-22,'s-Gravenhage,9,0
2020-06-23,'s-Gravenhage,4,2
2020-06-24,'s-Gravenhage,4,0
2020-06-25,'s-Gravenhage,14,0
2020-06-26,'s-Gravenhage,2,0
2020-06-27,'s-Gravenhage,6,0
2020-06-28,'s-Gravenhage,4,0
2020-06-29,'s-Gravenhage,10,0
2020-06-30,'s-Gravenhage,2,2
2020-06-01,Alblasserdam,0,0
2020-06-02,Alblasserdam,0,0
2020-06-03,Alblasserdam,0,0
2020-06-04,Alblasserdam,0,0
2020-06-05,Alblasserdam,0,0
2020-06-06,Alblasserdam,0,0
2020-06-07,Alblasserdam,0,0
2020-06-08,Alblasserdam,0,0
2020-06-09,Alblasserdam,0,0
2020-06-10,Alblasserdam,0,0
2020-06-11,Alblasserdam,0,0
2020-06-12,Alblasserdam,0,0
2020-06-13,Alblasserdam,0,0
2020-06-14,Alblasserdam,0,0
2020-06-15,Alblasserdam,0,0
2020-06-16,Alblasserdam,0,0
2020-06-17,Alblasserdam,0,0
2020-06-18,Alblasserdam,0,0
2020-06-19,Alblasserdam,0,0
2020-06-20,Alblasserdam,0,0
2020-06-21,Alblasserdam,0,0
2020-06-22,Alblasserdam,0,0
2020-06-23,Alblasserdam,0,0
2020-06-24,Alblasserdam,0,0
2020-06-25,Alblasserdam,0,0
2020-06-26,Alblasserdam,0,0
2020-06-27,Alblasserdam,0,0
2020-06-28,Alblasserdam,0,0
2020-06-29,Alblasserdam,0,0
2020-06-30,Alblasserdam,0,0
2020-06-01,Albrandswaard,0,0
2020-06-02,Albrandswaard,0,0
2020-06-03,Albrandswaard,1,0
2020-06-04,Albrandswaard,1,0
2020-06-05,Albrandswaard,0,0
2020-06-06,Albrandswaard,2,0
2020-06-07,Albrandswaard,1,0
2020-06-08,Albrandswaard,0,0
2020-06-09,Albrandswaard,1,0
2020-06-10,Albrandswaard,0,0
2020-06-11,Albrandswaard,0,0
2020-06-12,Albrandswaard,0,0
2020-06-13,Albrandswaard,0,0
2020-06-14,Albrandswaard,0,0
2020-06-15,Albrandswaard,0,0
2020-06-16,Albrandswaard,0,0
2020-06-17,Albrandswaard,0,0
2020-06-18,Albrandswaard,0,0
2020-06-19,Albrandswaard,0,0
2020-06-20,Albrandswaard,0,0
2020-06-21,Albrandswaard,0,0
2020-06-22,Albrandswaard,0,0
2020-06-23,Albrandswaard,0,0
2020-06-24,Albrandswaard,0,0
2020-06-25,Albrandswaard,0,0
2020-06-26,Albrandswaard,0,0
2020-06-27,Albrandswaard,0,0
2020-06-28,Albrandswaard,0,0
2020-06-29,Albrandswaard,0,0
2020-06-30,Albrandswaard,0,0
2020-06-01,Alphen aan den Rijn,0,0
2020-06-02,Alphen aan den Rijn,0,0
2020-06-03,Alphen aan den Rijn,1,0
2020-06-04,Alphen aan den Rijn,0,0
2020-06-05,Alphen aan den Rijn,2,0
2020-06-06,Alphen aan den Rijn,0,0
2020-06-07,Alphen aan den Rijn,1,0
2020-06-08,Alphen aan den Rijn,4,0
2020-06-09,Alphen aan den Rijn,1,0
2020-06-10,Alphen aan den Rijn,3,0
2020-06-11,Alphen aan den Rijn,0,0
2020-06-12,Alphen aan den Rijn,1,1
2020-06-13,Alphen aan den Rijn,0,0
2020-06-14,Alphen aan den Rijn,2,0
2020-06-15,Alphen aan den Rijn,0,0
2020-06-16,Alphen aan den Rijn,0,0
2020-06-17,Alphen aan den Rijn,0,0
2020-06-18,Alphen aan den Rijn,0,0
2020-06-19,Alphen aan den Rijn,0,0
2020-06-20,Alphen aan den Rijn,0,0
2020-06-21,Alphen aan den Rijn,0,0
2020-06-22,Alphen aan den Rijn,0,0
2020-06-23,Alphen aan den Rijn,1,0
2020-06-24,Alphen aan den Rijn,2,0
2020-06-25,Alphen aan den Rijn,0,0
2020-06-26,Alphen aan den Rijn,0,0
2020-06-27,Alphen aan den Rijn,2,0
2020-06-28,Alphen aan den Rijn,0,0
2020-06-29,Alphen aan den Rijn,0,0
2020-06-30,Alphen aan den Rijn,0,0
2020-06-01,Barendrecht,0,0
2020-06-02,Barendrecht,0,0
2020-06-03,Barendrecht,0,0
2020-06-04,Barendrecht,0,0
2020-06-05,Barendrecht,2,0
2020-06-06,Barendrecht,0,0
2020-06-07,Barendrecht,0,0
2020-06-08,Barendrecht,0,0
2020-06-09,Barendrecht,1,0
2020-06-10,Barendrecht,1,0
2020-06-11,Barendrecht,2,0
2020-06-12,Barendrecht,3,0
2020-06-13,Barendrecht,0,0
2020-06-14,Barendrecht,0,0
2020-06-15,Barendrecht,0,0
2020-06-16,Barendrecht,1,0
2020-06-17,Barendrecht,0,0
2020-06-18,Barendrecht,0,0
2020-06-19,Barendrecht,1,0
2020-06-20,Barendrecht,1,0
2020-06-21,Barendrecht,0,0
2020-06-22,Barendrecht,2,0
2020-06-23,Barendrecht,0,0
2020-06-24,Barendrecht,0,0
2020-06-25,Barendrecht,0,0
2020-06-26,Barendrecht,0,0
2020-06-27,Barendrecht,0,0
2020-06-28,Barendrecht,0,0
2020-06-29,Barendrecht,0,0
2020-06-30,Barendrecht,0,0
2020-06-01,Bodegraven-Reeuwijk,0,0
2020-06-02,Bodegraven-Reeuwijk,0,0
2020-06-03,Bodegraven-Reeuwijk,0,0
2020-06-04,Bodegraven-Reeuwijk,0,0
2020-06-05,Bodegraven-Reeuwijk,0,0
2020-06-06,Bodegraven-Reeuwijk,0,0
2020-06-07,Bodegraven-Reeuwijk,0,0
2020-06-08,Bodegraven-Reeuwijk,1,0
2020-06-09,Bodegraven-Reeuwijk,0,0
2020-06-10,Bodegraven-Reeuwijk,0,0
2020-06-11,Bodegraven-Reeuwijk,0,0
2020-06-12,Bodegraven-Reeuwijk,0,0
2020-06-13,Bodegraven-Reeuwijk,0,0
2020-06-14,Bodegraven-Reeuwijk,0,0
2020-06-15,Bodegraven-Reeuwijk,0,0
2020-06-16,Bodegraven-Reeuwijk,0,0
2020-06-17,Bodegraven-Reeuwijk,0,0
2020-06-18,Bodegraven-Reeuwijk,0,0
2020-06-19,Bodegraven-Reeuwijk,0,0
2020-06-20,Bodegraven-Reeuwijk,0,0
2020-06-21,Bodegraven-Reeuwijk,0,0
2020-06-22,Bodegraven-Reeuwijk,0,0
2020-06-23,Bodegraven-Reeuwijk,0,0
2020-06-24,Bodegraven-Reeuwijk,0,0
2020-06-25,Bodegraven-Reeuwijk,0,0
2020-06-26,Bodegraven-Reeuwijk,3,0
2020-06-27,Bodegraven-Reeuwijk,1,0
2020-06-28,Bodegraven-Reeuwijk,0,0
2020-06-29,Bodegraven-Reeuwijk,0,0
2020-06-30,Bodegraven-Reeuwijk,1,0
2020-06-01,Brielle,0,0
2020-06-02,Brielle,0,0
2020-06-03,Brielle,0,0
2020-06-04,Brielle,0,0
2020-06-05,Brielle,0,0
2020-06-06,Brielle,0,0
2020-06-07,Brielle,1,0
2020-06-08,Brielle,0,0
2020-06-09,Brielle,0,0
2020-06-10,Brielle,0,0
2020-06-11,Brielle,0,0
2020-06-12,Brielle,0,0
2020-06-13,Brielle,0,0
2020-06-14,Brielle,0,0
2020-06-15,Brielle,0,0
2020-06-16,Brielle,0,0
2020-06-17,Brielle,0,0
2020-06-18,Brielle,0,0
2020-06-19,Brielle,0,0
2020-06-20,Brielle,0,0
2020-06-21,Brielle,0,0
2020-06-22,Brielle,0,0
2020-06-23,Brielle,0,0
2020-06-24,Brielle,0,0
2020-06-25,Brielle,0,0
2020-06-26,Brielle,0,0
2020-06-27,Brielle,0,0
